Expected, -45, 0, -1
Real, -46.8452, -0.47127, 1.01626
Expected, -1, -1, 270
Real, -45.8785, -0.725423, 321.285
Expected, -45, 24, -1
Real, -46.612, 18.7015, 263.844
Expected, -1, -1, 0
Real, -45.885, 23.5005, 352.096
Expected, -24, 20, -1
Real, -26.2446, 22.5325, 331.01
Expected, -1, -1, 41
Real, -25.0029, 22.0657, 34.5818
Expected, 0, 43, -1
Real, -2.60487, 41.4053, 37.2621
Expected, -1, -1, 8
Real, -0.720673, 42.5846, 16.3794
Expected, 26, 46.5, -1
Real, 25.1792, 47.0622, 354.166
Expected, 0, 42, -1
Real, 2.3891, 43.1165, 24.7497
Expected, -1, -1, 90
Real, -0.470705, 41.8197, 84.9479
Expected, 0, 68, -1
Real, 0.359977, 61.4974, 81.0833
Expected, 0, 46, -1
Real, -0.319982, 47.2104, 95.6823
Expected, -60, 46, -1
Real, -60.0456, 46.4199, 183.498
Expected, -50, 62, -1
Real, -53.718, 52.7375, 45.6724
Expected, -1, -1, 315
Real, -48.2237, 56.1222, 330.638
Expected, -62, 62, -1
Real, -56.1119, 63.0571, 335.32
Expected, 23, 46, -1
Real, 9.38333, 46.5305, 351.377
Expected, 54, 25, -1
Real, 50.8435, 29.2626, 136.988
Expected, -1, -1, 90
Real, 56.3832, 24.0982, 99.389
Expected, 62, 56, -1
Real, 59.211, 53.1136, 77.1549
Expected, -1, -1, 240
Real, 55.4516, 53.7969, 210.056
Expected, 60, 60, -1
Real, 58.5971, 58.036, 237.539
Expected, 48, 30, -1
Real, 49.0478, 42.6494, 241.29
Expected, -1, -1, 90
Real, 45.4043, 38.0234, 127.632
Expected, 48, 2, -1
Real, 48.0234, 3.02145, 99.3083
Expected, 24, -24, -1
Real, 30.3369, -22.6014, 211.972
Expected, 24, -48, -1
Real, 24.6908, -49.4392, 261.57
Expected, 44, -44, -1
Real, 42.3701, -43.1026, 0.849331
Expected, 48, -60, -1
Real, 46.3112, -58.3619, 283.562
Expected, 38, 43, -1
Real, 47.075, -60.7507, 306.819
Expected, -1, -1, 170
Real, 47.0343, -60.4201, 177.343
