Expected, -46.5, 0, -1
Real, -47.4493, -0.792137, 3.08751
Expected, -1, -1, 270
Real, -46.9599, -1.17749, 278.191
Expected, -46.5, 22, -1
Real, -46.6876, 19.6851, 269.705
Expected, -1, -1, 0
Real, -46.7842, 21.3129, 352.652
Expected, -18, 28, -1
Real, -18.7672, 27.8629, 14.5137
Expected, 26, 46.5, -1
Real, 25.7356, 46.3883, 28.9135
Expected, 0, 42, -1
Real, 3.85728, 41.767, 357.411
Expected, -1, -1, 90
Real, 0.718751, 42.0986, 83.0261
Expected, 0, 68, -1
Real, -2.25606, 62.3451, 86.006
Expected, 0, 46, -1
Real, -1.9787, 48.0906, 88.4399
Expected, -60, 46, -1
Real, -59.5132, 45.9962, 175.066
Expected, -50, 62, -1
Real, -52.8125, 55.3283, 42.9523
Expected, -1, -1, 315
Real, -46.671, 61.8922, 349.019
Expected, -1, -1, 0
Real, -46.5593, 61.6392, 346.011
Expected, -64, 61.6392, -1
Real, -52.6939, 63.0973, 351.153
Expected, 30, 50, -1
Real, 18.2255, 51.2375, 353.163
Expected, 52, 50, -1
Real, 49.4895, 49.9063, 359.352
Expected, 58, 23, -1
Real, 57.1297, 26.1898, 99.1427
Expected, 62, 62, -1
Real, 60.1122, 57.5198, 262.453
Expected, 48, 30, -1
Real, 55.2263, 42.2327, 243.34
Expected, -1, -1, 90
Real, 50.9797, 37.0537, 88.7107
Expected, 47, 0, -1
Real, 47.2471, 1.20792, 79.8162
Expected, -1, -1, 90
Real, 46.8715, -0.93632, 84.344
Expected, -1, -1, 0
Real, 47.7126, 0.553975, 357.822
Expected, 40, 0.337201, -1
Real, 40.8391, 0.362242, 3.17794
Expected, 48, 0.362242, -1
Real, 46.0272, 0.463534, 359.707
Expected, -1, -1, 133.103
Real, 47.2919, 0.569078, 125.735
Expected, 22, 26, -1
Real, 23.6724, 23.4283, 119.705
Expected, -1, -1, 220
Real, 21.7571, 27.0322, 221.141
Expected, -17, -17, -1
Real, -6.85873, -5.62966, 224.354
Expected, -43, -43, -1
Real, -42.8837, -42.3387, 226.905
Expected, -62, -47, -1
Real, -60.985, -47.9978, 156.432
Expected, -44, -64, -1
Real, -47.0236, -60.1349, 298.536
Expected, -58, -66, -1
Real, -51.8982, -62.1071, 34.0631
Expected, -47, -47, -1
Real, -51.0068, -59.7214, 58.3646
Expected, -48, -20, -1
Real, -48.9037, -25.7427, 270.042
Expected, -20, -55, -1
Real, -20.7084, -52.979, 306.672
Expected, 0, -44, -1
Real, -2.98189, -44.6363, 14.6963
Expected, 0, -68, -1
Real, -1.02155, -64.0663, 257.326
Expected, 0, -44, -1
Real, 4.60924, -42.9946, 256.998
Expected, 23.5, -48, -1
Real, 21.9037, -46.7597, 327.373
Expected, 23.5, -20, -1
Real, 21.4147, -27.1218, 80.7041
Expected, 46, -48, -1
Real, 45.1008, -47.8611, 324.437
Expected, 60, -48, -1
Real, 53.1599, -46.5921, 357.502
Expected, 35, -45, -1
Real, 35.9817, -44.928, 5.90501
Expected, 46, -57, -1
Real, 45.1478, -55.771, 309.143
Expected, 60, -60, -1
Real, 57.1877, -60.4388, 336.348
Expected, -1, -1, 135
Real, 56.1055, -60.2047, 25.8278
Expected, 64, -74, -1
Real, 2.03034, -3.23959, 122.028
Expected, 30, -30, -1
Real, 42.1335, -37.244, 140.878
Expected, -1, -1, 315
Real, 38.7296, -34.383, 290.867
