Expected, -46.5, 0, -1
Real, -47.3863, -0.224229, 359.22
Expected, -1, -1, 270
Real, -47.0809, -0.521466, 276.593
Expected, -46.5, 22, -1
Real, -47.0253, 19.4278, 268.664
Expected, -1, -1, 0
Real, -46.989, 20.1822, 355.905
Expected, -18, 28, -1
Real, -18.5572, 27.4988, 17.8871
Expected, 26, 46.5, -1
Real, 27.6321, 46.4158, 33.8646
Expected, 3, 42, -1
Real, 7.25968, 40.7577, 351.287
Expected, -1, -1, 90
Real, 4.14555, 41.5379, 76.3136
Expected, 3, 68, -1
Real, 0.693318, 62.2958, 74.8569
Expected, 0, 46, -1
Real, -2.92203, 49.0761, 75.4694
Expected, -60, 46, -1
Real, -59.9839, 45.366, 179.415
Expected, -50, 62, -1
Real, -56.4425, 51.9056, 51.9173
Expected, -1, -1, 315
Real, -47.1405, 61.9326, 341.512
Expected, -1, -1, 0
Real, -47.1009, 61.781, 343.216
Expected, -64, 61.781, -1
Real, -53.1553, 63.3255, 348.572
Expected, 30, 47, -1
Real, 17.8645, 49.2562, 349.396
Expected, 52, 47, -1
Real, 49.7999, 47.0199, 0.500932
Expected, -1, -1, 130
Real, 50.2833, 46.6568, 107.44
Expected, 58, 23, -1
Real, 57.7188, 24.428, 96.43
Expected, 62, 62, -1
Real, 60.8604, 56.7116, 257.262
Expected, 48, 30, -1
Real, 55.4142, 40.1585, 241.537
Expected, -1, -1, 90
Real, 51.988, 35.9639, 89.0594
Expected, 47, 0, -1
Real, 47.2751, 1.09737, 83.426
Expected, -1, -1, 90
Real, 47.0797, -0.908892, 86.2328
Expected, -1, -1, 0
Real, 48.4151, 4.49018, 358.718
Expected, 40, 4.49614, -1
Real, 40.8433, 4.43549, 1.1862
Expected, 48, 4.43549, -1
Real, 46.0786, 4.45762, 0.181949
Expected, -1, -1, 138.487
Real, 46.9027, 4.44496, 124.964
Expected, 22, 26, -1
Real, 25.3349, 22.7188, 131.308
Expected, -1, -1, 220
Real, 19.8321, 28.742, 223.989
Expected, -17, -17, -1
Real, -8.26435, -6.58553, 243.73
Expected, -43, -43, -1
Real, -13.0522, -26.9136, 258.432
Expected, -62, -47, -1
Real, -52.4297, -41.9995, 200.121
Expected, -44, -64, -1
Real, -44.5239, -62.4119, 280.052
Expected, -58, -66, -1
Real, -50.507, -64.4433, 23.6532
Expected, -47, -47, -1
Real, -51.5284, -60.3532, 65.293
Expected, -48, -20, -1
Real, -47.9862, -22.8936, 272.306
Expected, -20, -55, -1
Real, -20.3434, -54.4652, 304.953
Expected, 0, -44, -1
Real, -5.83833, -47.6105, 10.1169
Expected, 0, -68, -1
Real, -1.64583, -64.633, 294.891
Expected, 0, -44, -1
Real, -20.0884, -48.737, 292.321
Expected, 23.5, -48, -1
Real, 7.81459, -46.6087, 357.981
