Expected, -46.5, 0, -1
Real, -47.2901, 0.310342, 357.543
Expected, -1, -1, 270
Real, -46.9524, -0.200453, 275.694
Expected, -46.5, 22, -1
Real, -47.0954, 19.2765, 269.699
Expected, -1, -1, 0
Real, -46.9871, 19.922, 355.792
Expected, -18, 28, -1
Real, -18.2954, 26.6593, 28.7947
Expected, 0, 43, -1
Real, -0.0993331, 40.6091, 55.5133
Expected, 26, 46.5, -1
Real, 25.0238, 44.9288, 359.467
Expected, 2, 42, -1
Real, 3.39405, 42.7395, 13.9061
Expected, -1, -1, 90
Real, 2.51111, 42.8134, 87.1859
Expected, 2, 68, -1
Real, 1.14582, 60.7449, 100.122
Expected, 0, 46, -1
Real, 3.564, 50.0052, 102.634
Expected, -60, 46, -1
Real, -59.6619, 47.2763, 188.136
Expected, -50, 62, -1
Real, -54.6653, 54.8595, 49.7841
Expected, -1, -1, 315
Real, -50.3363, 59.5637, 333.789
Expected, -1, -1, 0
Real, -50.0242, 59.8669, 344.461
Expected, 30, 50, -1
Real, 15.8479, 51.8661, 352.742
Expected, 52, 50, -1
Real, 49.0718, 49.6928, 4.35927
Expected, 58, 23, -1
Real, 57.8843, 24.3248, 101.891
Expected, -1, -1, 70
Real, 59.2641, 16.9365, 72.111
Expected, 62, 60, -1
Real, 62.8892, 55.4791, 76.4145
Expected, -1, -1, 210
Real, 59.4427, 55.7283, 212.225
Expected, 62, 58, -1
Real, 61.2319, 57.0686, 212.276
Expected, 48, 30, -1
Real, 54.3954, 46.6764, 242.909
Expected, -1, -1, 90
Real, 51.0166, 41.7813, 89.5636
Expected, 47, 0, -1
Real, 47.4655, 2.07528, 87.2802
Expected, -1, -1, 0
Real, 49.3216, 10.4257, 359.109
Expected, 40, 10.3714, -1
Real, 40.9211, 10.3005, 1.11841
Expected, 48, 10.3005, -1
Real, 46.1187, 10.3308, 359.993
Expected, -1, -1, 148.284
Real, 47.405, 10.9191, 139.51
Expected, 22, 26, -1
Real, 29.3249, 17.4523, 150.838
Expected, -1, -1, 220
Real, 30.1888, 17.4478, 216.192
Expected, -17, -17, -1
Real, 7.84569, 5.89481, 198.341
Expected, -43, -43, -1
Real, -6.25902, 1.46632, 198.191
Expected, -62, -47, -1
Real, -21.2612, -4.06118, 201.048
Expected, -44, -62, -1
Real, -31.0184, -15.8221, 232.9
Expected, -58, -66, -1
Real, -44.966, -39.0384, 64.6608
Expected, -47, -47, -1
Real, -48.1601, -48.4248, 62.2814
Expected, -48, -20, -1
Real, -49.2938, -29.564, 298.722
Expected, -20, -55, -1
Real, -45.8885, -34.1387, 312.36
Expected, -2, -44, -1
Real, -15.4111, -39.6999, 10.8018
Expected, -1, -1, -64.6443
Real, -16.9534, -39.5609, 2.28983
Expected, -2, -68, -1
Real, -7.45555, -44.084, 335.496
